id1,id2,shared_cm_total,n_segments,max_segment_cm,mean_segment_cm,P_IBD_ge1_approx
HG00339,HG02233,1.21222,1,1.21222,1.21222,0.005615668774071003
HG00339,HG02783,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00339,NA12751,1.18598,1,1.18598,1.18598,0.0054941106834343004
HG00339,NA20536,1.22608,1,1.22608,1.22608,0.005679875905786883
HG00339,NA20796,1.05361,1,1.05361,1.05361,0.004880900147703345
HG00339,NA21123,1.05997,1,1.05997,1.05997,0.004910363160525351
HG00345,HG00159,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00345,HG00177,1.03431,1,1.03431,1.03431,0.004791491948416442
HG00345,HG00278,1.51352,1,1.51352,1.51352,0.007011455843767587
HG00345,HG00358,1.14167,1,1.14167,1.14167,0.00528884242900929
HG00345,HG00366,1.18011,1,1.18011,1.18011,0.005466917619713361
HG00345,HG00373,1.51352,1,1.51352,1.51352,0.007011455843767587
HG00345,HG00654,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00345,HG03746,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00345,HG03899,1.09405,1,1.09405,1.09405,0.005068240436779116
HG00345,NA12144,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00345,NA19075,1.03063,1,1.03063,1.03063,0.004774444167412514
HG00345,NA20790,1.00989,1,1.00989,1.00989,0.004678365097297986
HG00346,HG01402,1.03863,1,1.03863,1.03863,0.004811504560899313
HG00346,NA06984,1.45808,1,1.45808,1.45808,0.006754627316904067
HG00346,NA12748,2.06555,2,1.06164,1.032775,0.009568761970832325
HG00351,HG00125,1.32445,1,1.32445,1.32445,0.00613557976919894
HG00351,HG00131,1.01772,1,1.01772,1.01772,0.004714637957423191
HG00351,HG00328,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00351,HG00629,1.17768,1,1.17768,1.17768,0.005455660525191746
HG00351,HG01500,1.20956,1,1.20956,1.20956,0.0056033461932366415
HG00351,HG04186,1.03058,1,1.03058,1.03058,0.004774212539953222
HG00351,NA12546,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00351,NA20586,1.3006,1,1.3006,1.3006,0.00602509347111642
HG00357,HG00272,1.26468,1,1.26468,1.26468,0.005858692304360691
HG00357,HG00315,1.03838,1,1.03838,1.03838,0.004810346423602852
HG00357,HG00328,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00357,HG00349,1.05516,1,1.05516,1.05516,0.004888080598941413
HG00357,HG02017,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00357,NA20536,1.13571,1,1.13571,1.13571,0.005261232435861625
HG00365,HG00278,1.20278,1,1.20278,1.20278,0.00557193750975658
HG00365,HG00331,1.0198,1,1.0198,1.0198,0.00472427365972976
HG00365,HG02687,1.14639,1,1.14639,1.14639,0.005310708061166502
HG00365,NA11829,1.05516,1,1.05516,1.05516,0.004888080598941413
HG00365,NA18959,1.01638,1,1.01638,1.01638,0.0047084303415141525
HG00366,HG00097,1.35078,1,1.35078,1.35078,0.006257554789262369
HG00366,NA12890,1.0109,1,1.0109,1.0109,0.004683043971975695
HG00366,NA20786,1.09212,1,1.09212,1.09212,0.005059299616850426
HG00366,NA20910,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00368,HG00132,1.04411,1,1.04411,1.04411,0.004836890930437771
HG00368,HG00158,1.05868,1,1.05868,1.05868,0.004904387172075605
HG00368,HG00275,1.31069,1,1.31069,1.31069,0.006071835892401645
HG00368,HG00362,1.00009,1,1.00009,1.00009,0.004632966115276657
HG00368,HG00383,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG00452,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG00653,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG00699,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG01105,1.31069,1,1.31069,1.31069,0.006071835892401645
HG00368,HG01816,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG02180,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG02374,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,HG02655,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00368,NA18959,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,NA18961,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00368,NA19078,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00371,HG00158,1.21451,1,1.21451,1.21451,0.005626277311706599
HG00371,HG04194,1.20858,1,1.20858,1.20858,0.005598806295034509
HG00371,NA20516,1.26128,1,1.26128,1.26128,0.0058429416371288
HG00372,NA20821,1.01406,1,1.01406,1.01406,0.00469768282740298
HG00376,HG00176,1.02632,1,1.02632,1.02632,0.0047544778804215005
HG00376,HG02233,1.02991,1,1.02991,1.02991,0.004771108731998703
HG00376,NA12830,1.20859,1,1.20859,1.20859,0.005598852620526368
HG00376,NA20812,1.38285,1,1.38285,1.38285,0.006406120641652576
HG00379,HG00125,1.29014,1,1.29014,1.29014,0.00597663700663243
HG00379,HG00137,1.02057,1,1.02057,1.02057,0.0047278407226028635
HG00379,HG01054,1.15172,1,1.15172,1.15172,0.005335399548327083
HG00379,NA12878,1.00145,1,1.00145,1.00145,0.004639266382169413
HG00383,HG00278,1.11656,1,1.11656,1.11656,0.005172519118952598
HG00383,HG00373,1.19622,1,1.19622,1.19622,0.005541547987097405
HG00383,HG01182,1.18642,1,1.18642,1.18642,0.005496149005076075
HG00407,HG00593,1.10506,1,1.10506,1.10506,0.005119244803315324
HG00407,HG00864,1.04497,1,1.04497,1.04497,0.004840874922737602
HG00407,HG01506,1.07935,1,1.07935,1.07935,0.0050001419637471225
HG00407,HG02067,2.04819,2,1.04497,1.024095,0.00948834091696597
HG00407,HG02070,1.16656,1,1.16656,1.16656,0.005404146578245095
HG00407,HG02156,1.18925,1,1.18925,1.18925,0.00550925911927203
HG00407,HG02397,1.07388,1,1.07388,1.07388,0.004974801919700523
HG00407,HG03686,1.14639,1,1.14639,1.14639,0.005310708061166502
HG00407,HG04107,1.00989,1,1.00989,1.00989,0.004678365097297986
HG00407,NA18627,1.04497,1,1.04497,1.04497,0.004840874922737602
HG00407,NA19055,1.52745,1,1.52745,1.52745,0.007075987253926476
HG00428,HG02136,1.05496,1,1.05496,1.05496,0.0048871540891042425
HG00436,HG01500,1.18011,1,1.18011,1.18011,0.005466917619713361
HG00436,HG01872,1.17761,1,1.17761,1.17761,0.005455336246748737
HG00436,HG02153,1.11587,1,1.11587,1.11587,0.005169322660014361
HG00436,NA18525,1.32642,1,1.32642,1.32642,0.006144705891095064
HG00436,NA18645,1.04264,1,1.04264,1.04264,0.004830081083134571
HG00436,NA18959,1.00145,1,1.00145,1.00145,0.004639266382169413
HG00436,NA18998,1.00511,1,1.00511,1.00511,0.0046562215121896235
HG00436,NA19089,1.06164,1,1.06164,1.06164,0.00491809951766572
HG00437,HG00583,1.07422,1,1.07422,1.07422,0.004976376986423712
HG00437,NA18535,1.58231,1,1.58231,1.58231,0.007330128902262204
HG00437,NA18959,1.0836,1,1.0836,1.0836,0.005019830297786985
HG00445,HG00689,1.41593,1,1.41593,1.41593,0.006559365368720492
HG00452,HG00566,1.01841,1,1.01841,1.01841,0.004717834416361428
HG00452,HG00653,1.71066,1,1.71066,1.71066,0.007924716590266043
HG00452,HG00699,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00452,HG00844,1.01841,1,1.01841,1.01841,0.004717834416361428
HG00452,HG01859,1.02851,1,1.02851,1.02851,0.004764623163138512
HG00452,HG02477,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00452,NA18961,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00452,NA19064,1.01067,1,1.01067,1.01067,0.004681978485662949
HG00452,NA19783,1.16543,1,1.16543,1.16543,0.005398911797665084
HG00457,HG00592,1.12668,1,1.12668,1.12668,0.005219400516713399
HG00457,HG00729,1.09449,1,1.09449,1.09449,0.0050702787584208904
HG00457,HG02047,1.1021,1,1.1021,1.1021,0.005105532457725209
HG00457,HG02050,1.03262,1,1.03262,1.03262,0.004783662940292355
HG00457,HG02385,1.00225,1,1.00225,1.00225,0.004642972421518093
HG00457,HG02397,1.22439,1,1.22439,1.22439,0.0056720468976627966
HG00457,NA18603,1.05419,1,1.05419,1.05419,0.004883587026231138
HG00457,NA18610,1.02257,1,1.02257,1.02257,0.004737105820974564
HG00457,NA19064,2.1280200000000002,2,1.09449,1.0640100000000001,0.009858157318472371
HG00463,HG00560,1.07731,1,1.07731,1.07731,0.004990691563407989
HG00463,HG00583,1.30925,1,1.30925,1.30925,0.006065165021574022
HG00463,HG00629,1.01425,1,1.01425,1.01425,0.004698563011748293
HG00463,HG00632,1.034,1,1.034,1.034,0.004790055858168828
HG00463,HG00653,1.11818,1,1.11818,1.11818,0.005180023848633675
