ID1	ID2	n_segments	total_shared_cm	max_segment_cm
HG02262	NA20513	1	3.309	3.309
HG01073	HG01190	1	0.818	0.818
NA19116	NA20281	1	0.669	0.669
NA18520	NA18933	1	0.785	0.785
HG03873	NA21109	1	0.53	0.53
HG01170	HG01682	1	0.502	0.502
HG03850	HG04153	1	0.526	0.526
HG00245	HG00372	1	0.518	0.518
NA20581	NA20813	1	3.279	3.279
HG00326	NA20808	1	3.327	3.327
HG00384	HG01626	1	0.5	0.5
HG03301	NA19379	1	3.316	3.316
NA19017	NA19372	1	0.637	0.637
HG02502	NA19235	1	0.668	0.668
HG01105	NA19722	1	0.706	0.706
HG02455	NA19913	1	0.528	0.528
NA19036	NA19327	1	0.533	0.533
HG01432	NA19729	1	0.531	0.531
HG00122	NA20126	1	0.562	0.562
HG03731	NA20866	1	0.54	0.54
NA19347	NA20298	1	0.514	0.514
HG00263	HG00264	2	1.435	0.835
HG01064	HG03105	1	0.518	0.518
HG02687	HG02792	1	3.327	3.327
HG00640	HG01474	1	0.559	0.559
HG03643	HG03685	1	0.596	0.596
HG00243	HG00376	1	0.624	0.624
HG01028	HG02035	1	0.552	0.552
